ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
412789,0.38584332483314027,0.42955925787485616,Craig,Democrat,centrist Democrat,20,608,79,104
412616,0.20276852499652295,0.6634537667584001,Lieu,Democrat,rank-and-file Democrat,40,561,202,418
412514,0.25432067413373727,0.4124890747849371,Swalwell,Democrat,rank-and-file Democrat,10,326,151,220
412255,0.6864832894280494,0.6579035495065858,Wittman,Republican,rank-and-file Republican,22,234,261,416
412396,0.28052519948769644,0.8744647846345439,Sewell,Democrat,moderate Democratic leader,13,533,234,500
400411,0.5280031876574688,0.29402852451813954,Turner [OH10],Republican,centrist Republican,11,142,86,107
400189,0.3278646319476343,0.04263834573521702,Hoyer,Democrat,moderate Democratic follower,0,122,0,0
412657,0.2161674665883196,0.8160118799203155,Beyer,Democrat,moderate Democratic leader,54,329,271,906
412500,0.585794556747653,0.18094141014119824,Amodei,Republican,moderate Republican follower,9,129,28,32
412777,0.7694187178919729,0.500736184819878,Baird,Republican,conservative Republican,14,201,119,158
412565,0.2140159645721014,0.5905312821840522,Beatty,Democrat,rank-and-file Democrat,21,388,211,530
412709,0.6932399468244859,0.7142634598251029,Bergman,Republican,moderate Republican leader,25,246,241,431
412652,0.29258689118281744,0.5982596097635586,Boyle,Democrat,rank-and-file Democrat,17,277,201,301
456863,0.2112619560829836,0.5113881466899866,Brown,Democrat,rank-and-file Democrat,21,321,170,535
400057,0.6542136321132023,0.5377047923841076,Calvert,Republican,rank-and-file Republican,24,186,100,130
456864,0.6490497961215478,0.5790822220433459,Carey,Republican,rank-and-file Republican,24,221,195,336
456860,0.25329256920264875,0.3328775593196879,Carter [LA2],Democrat,rank-and-file Democrat,22,478,81,119
400077,0.5677086076145501,0.3701009193141515,Cole,Republican,centrist Republican,15,84,46,60
412676,0.5754369101005962,0.538515622600528,Comer,Republican,centrist Republican,9,69,41,57
412400,0.6925715371944997,0.5590164496821872,Crawford,Republican,rank-and-file Republican,17,103,89,118
412820,0.816185839285008,0.5000000000000001,Crenshaw,Republican,conservative Republican,24,269,108,147
400657,0.5149846077694705,0.36241026950156224,Cuellar,Democrat,centrist Democrat,2,163,4,4
412780,0.3913072016694604,0.5843068461868305,Davids,Democrat,centrist Democrat,23,444,187,267
412675,0.6979692736253972,0.665404339214117,Davidson,Republican,rank-and-file Republican,40,165,211,309
412477,0.6879716485169262,0.20890490884644353,DesJarlais,Republican,moderate Republican follower,1,111,1,1
412691,0.7320453226450382,0.5831308765138531,Dunn,Republican,rank-and-file Republican,26,169,241,364
456862,0.738693804333146,0.07531085817971779,Ellzey,Republican,moderate Republican follower,4,174,2,2
456845,0.7561650014815785,0.3860755896178421,Fallon,Republican,conservative Republican,20,160,64,81
456818,0.7622817189472302,0.7847978289046292,Feenstra,Republican,conservative Republican leader,35,220,278,586
456869,0.786515656896872,0.4846439316908551,Finstad,Republican,conservative Republican,31,290,125,208
456868,0.6386079509499286,0.2806772250147635,Flood,Republican,rank-and-file Republican,25,177,91,136
400643,0.6345534222226793,0.6079126728915808,Foxx,Republican,rank-and-file Republican,28,91,88,115
456807,0.777456333918782,0.5009141575026307,Franklin,Republican,conservative Republican,15,186,66,144
456836,0.6301082548911617,0.7837199966983169,Garbarino,Republican,moderate Republican leader,36,242,306,758
412842,0.5262393675756533,0.4815749910032961,Golden,Democrat,centrist Democrat,13,207,243,286
456849,0.6425362739829718,0.5835105142739023,Gonzales,Republican,rank-and-file Republican,29,112,119,202
412725,0.4408938641209033,0.3357561163349368,Gonzalez,Democrat,centrist Democrat,8,183,107,116
