fips,state,district_ids,margin,competitive,p1_data_tier,margin_stale,source,vintage
28073,MS,,-37.983,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28075,MS,,-12.227,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28077,MS,,-13.589,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28079,MS,,-10.012,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28081,MS,,-12.133,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28083,MS,,58.979,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28085,MS,,-26.804,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28087,MS,,7.082,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28089,MS,,-2.045,True,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28091,MS,,-22.237,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28093,MS,,2.445,True,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28095,MS,,-6.841,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28097,MS,,-0.523,True,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28099,MS,,-36.716,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28101,MS,,-28.673,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28103,MS,,62.954,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28105,MS,,14.077,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28107,MS,,3.527,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28109,MS,,-54.592,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28111,MS,,-38.19,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28113,MS,,11.628,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28115,MS,,-43.056,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28117,MS,,-33.242,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28119,MS,,42.918,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28121,MS,,-32.23,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28123,MS,,-3.389,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28125,MS,,52.097,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28127,MS,,-16.38,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28129,MS,,-38.751,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28131,MS,,-40.511,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28133,MS,,48.947,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28135,MS,,30.507,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28137,MS,,-24.109,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28139,MS,,-40.905,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28141,MS,,-48.234,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28143,MS,,50.356,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28145,MS,,-46.223,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28147,MS,,-7.698,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28149,MS,,8.246,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28151,MS,,51.221,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28153,MS,,-14.924,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
