member_id,member_name,state,party,chamber,district,vote_id,vote_name,congress,vote_position,is_pro_labor,is_not_voting
S364,Christopher Murphy,CT,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S229,Patty Murray,WA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S414,Jon Ossoff,GA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S413,Alex Padilla,CA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S348,Rand Paul,KY,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S380,Gary Peters,MI,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S349,Rob Portman,OH,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S259,John Reed,RI,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S323,James Risch,ID,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S401,Mitt Romney,UT,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S402,Jacklyn Rosen,NV,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S381,Mike Rounds,SD,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S350,Marco Rubio,FL,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S313,Bernard Sanders,VT,I,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S382,Ben Sasse,NE,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S353,Brian Schatz,HI,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S270,Charles Schumer,NY,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S404,Rick Scott,FL,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S365,Tim Scott,SC,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S324,Jeanne Shaheen,NH,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S184,Richard Shelby,AL,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S403,Kyrsten Sinema,AZ,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S394,Tina Smith,MN,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S284,Debbie Stabenow,MI,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S383,Dan Sullivan,AK,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S314,Jon Tester,MT,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S303,John Thune,SD,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S384,Thomas Tillis,NC,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S351,Patrick Toomey,PA,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S412,Tommy Tuberville,AL,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S390,Chris Van Hollen,MD,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S327,Mark Warner,VA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S415,Raphael Warnock,GA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S366,Elizabeth Warren,MA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S316,Sheldon Whitehouse,RI,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S318,Roger Wicker,MS,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S247,Ron Wyden,OR,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S391,Todd Young,IN,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S354,Tammy Baldwin,WI,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S317,John Barrasso,WY,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S330,Michael Bennet,CO,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S396,Marsha Blackburn,TN,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S341,Richard Blumenthal,CT,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S342,Roy Blunt,MO,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S370,Cory Booker,NJ,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S343,John Boozman,AR,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S397,Mike Braun,IN,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S307,Sherrod Brown,OH,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S300,Richard Burr,NC,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S275,Maria Cantwell,WA,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S372,Shelley Capito,WV,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S308,Ben Cardin,MD,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S277,Thomas Carper,DE,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S309,Bob Casey,PA,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S373,Bill Cassidy,LA,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S252,Susan Collins,ME,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S337,Christopher Coons,DE,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S287,John Cornyn,TX,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S385,Catherine Cortez Masto,NV,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S374,Tom Cotton,AR,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S398,Kevin Cramer,ND,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S266,Mike Crapo,ID,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S355,Ted Cruz,TX,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S375,Steve Daines,MT,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S386,Tammy Duckworth,IL,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S253,Richard Durbin,IL,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S376,Joni Ernst,IA,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S221,Dianne Feinstein,CA,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S357,Deb Fischer,NE,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S331,Kirsten Gillibrand,NY,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
