bioguide_id,name,state,party,chamber,district,key_vote_score,ideology_score,inverse_ideology_score,p2_combined,coverage_type
M001204,Daniel Meuser,PA,R,house,9,0.0,0.7759576248620357,0.22404237513796432,0.089617,both
P000605,Scott Perry,PA,R,house,10,0.0,0.7539371014840928,0.24606289851590724,0.098425,both
R000610,Guy Reschenthaler,PA,R,house,14,0.5,0.7177900530500875,0.2822099469499125,0.412884,both
S001205,Mary Gay Scanlon,PA,D,house,5,1.0,0.13769333079187032,0.8623066692081297,0.944923,both
S001199,Lloyd Smucker,PA,R,house,11,0.0,0.6235914046346884,0.37640859536531157,0.150563,both
T000467,Glenn Thompson,PA,R,house,15,0.0,0.6757496455712493,0.3242503544287507,0.1297,both
S259,John Reed,RI,D,senate,,1.0,0.21123568709222315,0.7887643129077768,0.915506,both
S316,Sheldon Whitehouse,RI,D,senate,,1.0,0.18829784687128628,0.8117021531287137,0.924681,both
C000537,James E. Clyburn,SC,D,house,6,1.0,0.3180497459692304,0.6819502540307696,0.87278,both
S293,Lindsey Graham,SC,R,senate,,0.0,0.7468250562859058,0.2531749437140942,0.10127,both
M000194,Nancy Mace,SC,R,house,1,0.0,0.7180421990333107,0.2819578009666893,0.112783,both
N000190,Ralph Norman,SC,R,house,5,0.0,0.9034964435976452,0.09650355640235475,0.038601,both
S365,Tim Scott,SC,R,senate,,0.0,0.8280759505823567,0.17192404941764328,0.06877,both
T000480,William R. Timmons IV,SC,R,house,4,0.0,0.7226563212593621,0.2773436787406379,0.110937,both
W000795,Joe Wilson,SC,R,house,2,0.0,0.6975414391429522,0.3024585608570478,0.120983,both
S303,John Thune,SD,R,senate,,0.0,0.7948271838730254,0.20517281612697458,0.082069,both
J000301,Dusty Johnson,SD,R,house,0,0.0,0.6828047209892609,0.3171952790107391,0.126878,both
S381,Mike Rounds,SD,R,senate,,0.0,0.7705778994155679,0.22942210058443213,0.091769,both
S407,Bill Hagerty,TN,R,senate,,0.0,0.8917288722159252,0.10827112778407477,0.043308,both
B001309,Tim Burchett,TN,R,house,2,0.0,0.7042414296426653,0.29575857035733466,0.118303,both
C001068,Steve Cohen,TN,D,house,9,1.0,0.19337924908752804,0.806620750912472,0.922648,both
D000616,Scott DesJarlais,TN,R,house,4,0.0,0.6879716485169262,0.31202835148307384,0.124811,both
F000459,"Charles J. ""Chuck"" Fleischmann",TN,R,house,3,0.0,0.6995038272064179,0.3004961727935821,0.120198,both
H001086,Diana Harshbarger,TN,R,house,1,0.0,0.8163964553026791,0.18360354469732088,0.073441,both
K000392,David Kustoff,TN,R,house,8,0.0,0.6884352923655312,0.31156470763446875,0.124626,both
S396,Marsha Blackburn,TN,R,senate,,0.0,0.9796469175649387,0.020353082435061287,0.008141,both
R000612,John W. Rose,TN,R,house,6,0.0,0.7561042131136921,0.24389578688630786,0.097558,both
A000375,Jodey C. Arrington,TX,R,house,19,0.0,0.6581850296892038,0.3418149703107962,0.136726,both
B001291,Brian Babin,TX,R,house,36,0.0,0.9003216918266302,0.09967830817336976,0.039871,both
C001051,John R. Carter,TX,R,house,31,0.0,0.6240844620452689,0.3759155379547311,0.150366,both
C001091,Joaquin Castro,TX,D,house,20,1.0,0.2533866649825481,0.746613335017452,0.898645,both
C001115,Michael Cloud,TX,R,house,27,0.0,0.7423507769057828,0.25764922309421723,0.10306,both
C001120,Dan Crenshaw,TX,R,house,2,0.0,0.816185839285008,0.18381416071499201,0.073526,both
C001063,Henry Cuellar,TX,D,house,28,0.5,0.5149846077694705,0.4850153922305295,0.494006,both
D000399,Lloyd Doggett,TX,D,house,37,1.0,0.23101494263433564,0.7689850573656644,0.907594,both
E000299,Veronica Escobar,TX,D,house,16,1.0,0.22827405135609236,0.7717259486439076,0.90869,both
F000246,Pat Fallon,TX,R,house,4,0.0,0.7561650014815785,0.2438349985184215,0.097534,both
F000468,Lizzie Fletcher,TX,D,house,7,1.0,0.25637727739743293,0.7436227226025671,0.897449,both
G000587,Sylvia R. Garcia,TX,D,house,29,1.0,0.17200386577686,0.82799613422314,0.931198,both
G000581,Vicente Gonzalez,TX,D,house,34,1.0,0.4408938641209033,0.5591061358790967,0.823642,both
G000589,Lance Gooden,TX,R,house,5,0.0,0.7671704878251002,0.23282951217489978,0.093132,both
G000553,Al Green,TX,D,house,9,1.0,0.19376641843730458,0.8062335815626954,0.922493,both
J000304,Ronny Jackson,TX,R,house,13,0.0,0.8312251448249741,0.16877485517502588,0.06751,both
S287,John Cornyn,TX,R,senate,,0.0,0.8369976283609908,0.1630023716390092,0.065201,both
M001157,Michael T. McCaul,TX,R,house,10,0.0,0.6242838719564614,0.3757161280435386,0.150286,both
N000026,Troy E. Nehls,TX,R,house,22,0.0,0.7825520262964218,0.21744797370357816,0.086979,both
P000048,August Pfluger,TX,R,house,11,0.0,0.8002020551528705,0.19979794484712954,0.079919,both
R000614,Chip Roy,TX,R,house,21,0.0,0.7193111913016146,0.2806888086983854,0.112276,both
S000250,Pete Sessions,TX,R,house,17,0.0,0.7843764544705321,0.21562354552946794,0.086249,both
S355,Ted Cruz,TX,R,senate,,0.0,0.941046342909978,0.05895365709002198,0.023581,both
V000134,Beth Van Duyne,TX,R,house,24,0.0,0.7477369810307961,0.2522630189692039,0.100905,both
